county,state,county_state,unemp_rate,higherunemp,evict_rate,pred_evrate,pred_error,higherevict
Pike County,Alabama,"Pike County, AL",0.06570000000000001,0.16570000000000001,0.0171,0.018653591744538484,0.001553591744538483,0.02310513312151979
Pike County,Arkansas,"Pike County, AR",0.060200000000000004,0.1602,NA,0.011422111450280242,NA,0.014753102619325833
Pike County,Georgia,"Pike County, GA",0.06140000000000001,0.16140000000000002,5e-4,0.02310155532372497,0.02260155532372497,0.029240387355435996
Pike County,Illinois,"Pike County, IL",0.05610000000000001,0.15610000000000002,0.0055,0.013034701556838845,0.007534701556838845,0.016694450635665697
Pike County,Indiana,"Pike County, IN",0.04780000000000001,0.14780000000000001,0.0057,0.009895714811790378,0.004195714811790378,0.01293748304382491
Pike County,Kentucky,"Pike County, KY",0.10140000000000002,0.20140000000000002,0.0118,0.016304619574027714,0.004504619574027714,0.020634411265146705
Pike County,Missouri,"Pike County, MO",0.049500000000000016,0.14950000000000002,0.0088,0.011065737252192797,0.0022657372521927965,0.014332524670288803
Pike County,Mississippi,"Pike County, MS",0.0763,0.1763,0.021,0.01662052756770124,-0.004379472432298762,0.0208083243825462
Pike County,Ohio,"Pike County, OH",0.0865,0.1865,0.0243,0.0207462528082805,-0.0035537471917194974,0.02572195723411433
Pike County,Pennsylvania,"Pike County, PA",0.0723,0.1723,0.0255,0.02974163610409505,0.004241636104095052,0.03568115859032451
Pima County,Arizona,"Pima County, AZ",0.05529999999999999,0.1553,0.0494,0.02137528709831879,-0.02802471290168121,0.026246287248096484
Pinal County,Arizona,"Pinal County, AZ",0.0632,0.1632,NA,0.01710358468685606,NA,0.021424094022572737
Pine County,Minnesota,"Pine County, MN",0.060100000000000015,0.16010000000000002,0.0121,0.01672316439069879,0.004623164390698792,0.02099722913966843
Pinellas County,Florida,"Pinellas County, FL",0.05099999999999999,0.151,0.0324,0.03444362134582436,0.0020436213458243646,0.042057147551787744
Pipestone County,Minnesota,"Pipestone County, MN",0.037500000000000006,0.1375,0.0027,0.011958219349578511,0.00925821934957851,0.015361339172768624
Piscataquis County,Maine,"Piscataquis County, ME",0.061700000000000005,0.1617,0.014,0.011457164607043947,-0.0025428353929560533,0.014307396724338277
Pitkin County,Colorado,"Pitkin County, CO",0.043300000000000005,0.1433,0.0039,0.011508877377319184,0.007608877377319184,0.01432831090872529
Pitt County,North Carolina,"Pitt County, NC",0.061799999999999994,0.1618,0.0642,0.03666868910210014,-0.027531310897899855,0.04451577222591118
Pittsburg County,Oklahoma,"Pittsburg County, OK",0.061,0.161,0.0295,0.01281816489338246,-0.01668183510661754,0.016381571253230625
Pittsylvania County,Virginia,"Pittsylvania County, VA",0.05560000000000001,0.15560000000000002,0.0281,0.014032286412505646,-0.014067713587494354,0.017790928069293593
Piute County,Utah,"Piute County, UT",0.0643,0.1643,0,0.00567613034318636,0.00567613034318636,0.0075057169182789684
Placer County,California,"Placer County, CA",0.05460000000000001,0.15460000000000002,0.0076,0.02160230401312298,0.014002304013122982,0.02654920523128056
Plaquemines Parish,Louisiana,"Plaquemines Parish, LA",0.05399999999999999,0.154,NA,0.020431234676595803,NA,0.02604263251143752
Platte County,Missouri,"Platte County, MO",0.043300000000000005,0.1433,0.0272,0.023231757867650277,-0.003968242132349722,0.029349183370649134
Platte County,Nebraska,"Platte County, NE",0.0315,0.1315,0.0058,0.009664736430527253,0.0038647364305272533,0.012598118432932438
Platte County,Wyoming,"Platte County, WY",0.04139999999999999,0.1414,0,0.008351417776670441,0.008351417776670441,0.010661218603221067
Pleasants County,West Virginia,"Pleasants County, WV",0.0763,0.1763,0.0217,0.011972242527489093,-0.009727757472510907,0.015466313056781268
Plumas County,California,"Plumas County, CA",0.10879999999999998,0.20879999999999999,0.0108,0.016835674020804263,0.006035674020804262,0.02053732966832846
Plymouth County,Iowa,"Plymouth County, IA",0.03040000000000001,0.13040000000000002,0.0056,0.01745473151193438,0.01185473151193438,0.022537057962137362
Plymouth County,Massachusetts,"Plymouth County, MA",0.0519,0.1519,0.0293,0.02094812948159556,-0.008351870518404438,0.025787096752352
Pocahontas County,Iowa,"Pocahontas County, IA",0.031200000000000006,0.1312,0.0025,0.01046764603372376,0.00796764603372376,0.013575279480215894
Pocahontas County,West Virginia,"Pocahontas County, WV",0.07570000000000002,0.17570000000000002,0.0312,0.010338867450769205,-0.020861132549230794,0.013514299037178743
Poinsett County,Arkansas,"Poinsett County, AR",0.05879999999999999,0.1588,NA,0.023602206357987876,NA,0.029812694591771664
