county,state,county_state,income_group,shortage
Brown County,Minnesota,"Brown County, MN",r_gap30,295
Brown County,Nebraska,"Brown County, NE",r_gap30,0
Brown County,Ohio,"Brown County, OH",r_gap30,660
Brown County,South Dakota,"Brown County, SD",r_gap30,655
Brown County,Texas,"Brown County, TX",r_gap30,415
Brown County,Wisconsin,"Brown County, WI",r_gap30,6615
Brule County,South Dakota,"Brule County, SD",r_gap30,4
Brunswick County,North Carolina,"Brunswick County, NC",r_gap30,1865
Brunswick County,Virginia,"Brunswick County, VA",r_gap30,165
Bryan County,Georgia,"Bryan County, GA",r_gap30,665
Bryan County,Oklahoma,"Bryan County, OK",r_gap30,820
Buchanan County,Iowa,"Buchanan County, IA",r_gap30,104
Buchanan County,Missouri,"Buchanan County, MO",r_gap30,1820
Buchanan County,Virginia,"Buchanan County, VA",r_gap30,375
Buckingham County,Virginia,"Buckingham County, VA",r_gap30,225
Bucks County,Pennsylvania,"Bucks County, PA",r_gap30,7590
Buena Vista city,Virginia,"Buena Vista city, VA",r_gap30,165
Buena Vista County,Iowa,"Buena Vista County, IA",r_gap30,290
Buffalo County,Nebraska,"Buffalo County, NE",r_gap30,1095
Buffalo County,South Dakota,"Buffalo County, SD",r_gap30,40
Buffalo County,Wisconsin,"Buffalo County, WI",r_gap30,84
Bullitt County,Kentucky,"Bullitt County, KY",r_gap30,630
Bulloch County,Georgia,"Bulloch County, GA",r_gap30,2805
Bullock County,Alabama,"Bullock County, AL",r_gap30,275
Buncombe County,North Carolina,"Buncombe County, NC",r_gap30,3725
Bureau County,Illinois,"Bureau County, IL",r_gap30,410
Burke County,Georgia,"Burke County, GA",r_gap30,335
Burke County,North Carolina,"Burke County, NC",r_gap30,1380
Burke County,North Dakota,"Burke County, ND",r_gap30,9
Burleigh County,North Dakota,"Burleigh County, ND",r_gap30,1605
Burleson County,Texas,"Burleson County, TX",r_gap30,185
Burlington County,New Jersey,"Burlington County, NJ",r_gap30,5265
Burnet County,Texas,"Burnet County, TX",r_gap30,435
Burnett County,Wisconsin,"Burnett County, WI",r_gap30,220
Burt County,Nebraska,"Burt County, NE",r_gap30,14
Butler County,Alabama,"Butler County, AL",r_gap30,215
Butler County,Iowa,"Butler County, IA",r_gap30,33
Butler County,Kansas,"Butler County, KS",r_gap30,965
Butler County,Kentucky,"Butler County, KY",r_gap30,150
Butler County,Missouri,"Butler County, MO",r_gap30,795
Butler County,Nebraska,"Butler County, NE",r_gap30,80
Butler County,Ohio,"Butler County, OH",r_gap30,8520
Butler County,Pennsylvania,"Butler County, PA",r_gap30,2545
Butte County,California,"Butte County, CA",r_gap30,7060
Butte County,Idaho,"Butte County, ID",r_gap30,0
Butte County,South Dakota,"Butte County, SD",r_gap30,165
Butts County,Georgia,"Butts County, GA",r_gap30,384
Cabarrus County,North Carolina,"Cabarrus County, NC",r_gap30,2805
Cabell County,West Virginia,"Cabell County, WV",r_gap30,3120
Cache County,Utah,"Cache County, UT",r_gap30,2365
Caddo County,Oklahoma,"Caddo County, OK",r_gap30,255
Caddo Parish,Louisiana,"Caddo Parish, LA",r_gap30,7330
Calaveras County,California,"Calaveras County, CA",r_gap30,515
Calcasieu Parish,Louisiana,"Calcasieu Parish, LA",r_gap30,3145
Caldwell County,Kentucky,"Caldwell County, KY",r_gap30,245
